mu,mu_built_in,mu_emp,met,nmi,nc_norm,gamma_mean,gamma_min,gamma_max
5,0.028,0.026,LV_ST,0.9670798320428319,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682166948678834,1.1892,0,0,0
5,0.028,0.027,LV_ST,0.9630426707456815,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.965800028689246,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9695505211048867,1.1892,0,0,0
5,0.028,0.025,LV_ST,0.9592272573382506,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9695261706228406,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9684691134662075,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9670787069868514,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682646045892845,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9649978098534007,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9680645640915049,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682646045892845,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9698005353686131,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9684691134662075,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.9591248994095604,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.96820088863525,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.959543768887423,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.9686912834581446,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.9439060298924994,1.1351,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9670798320428319,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9686912834581446,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9639015633660669,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9673739094970195,1.2162,0,0,0
5,0.028,0.027,LV_ST,0.9641174261116295,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682110099970521,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9684605709706133,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.956897023834966,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.9684691134662075,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.9614156330248939,1.1622,0,0,0
5,0.028,0.025,LV_ST,0.9601346464137249,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.9684691134662075,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9684985009148487,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682110099970521,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9670798320428319,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682110099970521,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9671342511942277,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9672474761189511,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9669699823958635,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9684846542381197,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9684218196939036,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9646823119988248,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9686912834581446,1.2162,0,0,0
5,0.028,0.025,LV_ST,0.9546440750283304,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.027,LV_ST,0.9673908174225138,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9670798320428319,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9673739094970195,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9654126852797115,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.96824588818031,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9684846542381197,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9671461202537055,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9670798320428319,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9593492935704361,1.1622,0,0,0
5,0.028,0.026,LV_ST,0.9698005353686131,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9697404104525342,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9649978098534007,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9674226722246592,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9673974404595467,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9673739094970195,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9653253889280312,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.9661170372295526,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.9682005686126041,1.1892,0,0,0
5,0.028,0.026,LV_ST,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_ST,0.968408790692383,1.1892,0,0,0
5,0.028,0.026,LV_consRec,0.968531760126917,1.2162,0,0,0
5,0.028,0.026,LV_CCD,0.968531760126917,1.2162,0.011455,0,0.009
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9562698693576158,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.026,LD_ST,0.9608549585224047,1.1892,0,0,0
5,0.028,0.026,LD_ST,0.9588448689113085,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9574368213104869,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9544266905656665,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9526701663037703,1.1622,0,0,0
5,0.028,0.026,LD_ST,0.9577361124509015,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9574368213104869,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9584665876680888,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9522256051830139,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9574368213104869,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9554293366912296,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9526701663037703,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9564341751849238,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9546161964061699,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9591933455723831,1.1622,0,0,0
5,0.028,0.024,LD_ST,0.9450468619878183,1.1351,0,0,0
5,0.028,0.025,LD_ST,0.9552672232320528,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9574368213104869,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9526701663037703,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9617820881760949,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9610553302718006,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9552672232320528,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9526701663037703,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9617820881760949,1.1892,0,0,0
5,0.028,0.025,LD_ST,0.9536728124293332,1.1622,0,0,0
5,0.028,0.025,LD_ST,0.9600255639141986,1.1892,0,0,0
