"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.5",0.4182,0.3123,0.6187,23,0.621621621621622,0.446,0.4
"2","IM_cons_0.5",0.4182,0.4197,0.5597,129,3.48648648648649,0.614,0.4
"3","LP_cons_0.5",0.4182,0.4928,0.4821,207,5.59459459459459,0.593,0.4
"4","ML_cons_0.5",0.4182,0.366,0.5924,66,1.78378378378378,0.593,0.4
"5","WT_cons_0.5",0.4182,0.4326,0.5274,144,3.89189189189189,0.561,0.4
"6","LV_cons_0.5",0.4182,0.37,0.5873,67,1.81081081081081,0.581,0.4
