"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.2",0.0776,0.0673,0.8919,43,1.16216216216216,0.929,0.1
"2","IM_cons_0.2",0.0776,0.0863,0.8773,73,1.97297297297297,0.896,0.1
"3","LP_cons_0.2",0.0776,0.0771,0.8825,57,1.54054054054054,0.897,0.1
"4","ML_cons_0.2",0.0776,0.0649,0.888,38,1.02702702702703,0.867,0.1
"5","WT_cons_0.2",0.0776,0.0878,0.8752,76,2.05405405405405,0.885,0.1
"6","LV_cons_0.2",0.0776,0.0649,0.888,38,1.02702702702703,0.868,0.1
