method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.9407,0.9407,0.0286,50,1.3513513513513513,0.203
LD,0.9328,0.9328,0.0326,49,1.3243243243243243,0.197
LP,0.9397,0.9397,0.0348,77,2.081081081081081,0.25
ML,0.9422,0.9422,0.0281,50,1.3513513513513513,0.207
WT,0.9387,0.9387,0.0351,81,2.189189189189189,0.25
LV,0.9387,0.9387,0.0297,48,1.2972972972972974,0.198
LD,0.9314,0.9314,0.0344,47,1.2702702702702702,0.195
LP,0.9333,0.9333,0.0394,73,1.972972972972973,0.246
ML,0.9353,0.9353,0.0344,50,1.3513513513513513,0.199
WT,0.9412,0.9412,0.032,81,2.189189189189189,0.253
LV,0.9319,0.9319,0.037,50,1.3513513513513513,0.216
LD,0.9314,0.9314,0.0342,48,1.2972972972972974,0.2
LP,0.9397,0.9397,0.034,73,1.972972972972973,0.25
ML,0.9407,0.9407,0.0287,49,1.3243243243243243,0.199
WT,0.9387,0.9387,0.036,81,2.189189189189189,0.251
LV,0.9338,0.9338,0.0326,49,1.3243243243243243,0.2
LD,0.9319,0.9319,0.0321,47,1.2702702702702702,0.193
LP,0.9431,0.9431,0.0318,81,2.189189189189189,0.257
ML,0.9309,0.9309,0.0394,50,1.3513513513513513,0.203
WT,0.9392,0.9392,0.0338,81,2.189189189189189,0.257
LV,0.9333,0.9333,0.0366,50,1.3513513513513513,0.204
LD,0.9304,0.9304,0.0354,48,1.2972972972972974,0.203
LP,0.9471,0.9471,0.0285,75,2.027027027027027,0.245
ML,0.9338,0.9338,0.0366,49,1.3243243243243243,0.205
WT,0.9407,0.9407,0.0335,81,2.189189189189189,0.248
LV,0.9333,0.9333,0.0332,49,1.3243243243243243,0.201
LD,0.9279,0.9279,0.0375,49,1.3243243243243243,0.201
LP,0.9348,0.9348,0.038,72,1.945945945945946,0.25
ML,0.9397,0.9397,0.0285,49,1.3243243243243243,0.202
WT,0.9377,0.9377,0.0337,81,2.189189189189189,0.254
LV,0.9328,0.9328,0.0353,50,1.3513513513513513,0.209
LD,0.9299,0.9299,0.0374,49,1.3243243243243243,0.202
LP,0.9373,0.9373,0.0372,79,2.135135135135135,0.259
ML,0.9319,0.9319,0.0369,50,1.3513513513513513,0.206
WT,0.9363,0.9363,0.0377,81,2.189189189189189,0.256
LV,0.9353,0.9353,0.0301,49,1.3243243243243243,0.202
LD,0.9353,0.9353,0.0315,48,1.2972972972972974,0.196
LP,0.9426,0.9426,0.0334,78,2.108108108108108,0.248
ML,0.9348,0.9348,0.034,50,1.3513513513513513,0.206
WT,0.9451,0.9451,0.0296,81,2.189189189189189,0.253
LV,0.9417,0.9417,0.0252,48,1.2972972972972974,0.202
LD,0.9304,0.9304,0.0363,49,1.3243243243243243,0.207
LP,0.9353,0.9353,0.0385,73,1.972972972972973,0.25
ML,0.9368,0.9368,0.0321,50,1.3513513513513513,0.205
WT,0.9363,0.9363,0.0377,81,2.189189189189189,0.248
LV,0.9348,0.9348,0.0327,49,1.3243243243243243,0.198
LD,0.9324,0.9324,0.0336,48,1.2972972972972974,0.197
LP,0.9446,0.9446,0.0312,81,2.189189189189189,0.265
ML,0.9348,0.9348,0.0317,49,1.3243243243243243,0.205
WT,0.9441,0.9441,0.0306,81,2.189189189189189,0.245
