"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.2",0.3646,0.2837,0.6536,35,0.945945945945946,0.534,0.35
"2","IM_cons_0.2",0.3646,0.3433,0.6298,108,2.91891891891892,0.674,0.35
"3","LP_cons_0.2",0.3646,0.3383,0.6129,74,2,0.632,0.35
"4","ML_cons_0.2",0.3646,0.2866,0.6556,36,0.972972972972973,0.538,0.35
"5","WT_cons_0.2",0.3646,0.3592,0.5808,139,3.75675675675676,0.608,0.35
"6","LV_cons_0.2",0.3646,0.2842,0.6561,35,0.945945945945946,0.529,0.35
