"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.2",0.0275,0.0255,0.9234,50,1.35135135135135,0.965,0.05
"2","IM_cons_0.2",0.0275,0.0436,0.908,76,2.05405405405405,0.908,0.05
"3","LP_cons_0.2",0.0275,0.0358,0.9142,64,1.72972972972973,0.927,0.05
"4","ML_cons_0.2",0.0275,0.0255,0.9238,50,1.35135135135135,0.969,0.05
"5","WT_cons_0.2",0.0275,0.0451,0.9049,81,2.18918918918919,0.899,0.05
"6","LV_cons_0.2",0.0275,0.0255,0.9238,50,1.35135135135135,0.969,0.05
