method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.9306,0.9306,0.0229,35,0.9459459459459459,0.158
LD,0.9098,0.9098,0.0229,28,0.7567567567567568,0.11
LP,0.9415,0.9415,0.0296,67,1.8108108108108107,0.238
ML,0.9336,0.9336,0.0234,38,1.027027027027027,0.162
WT,0.9465,0.9465,0.0278,96,2.5945945945945947,0.267
LV,0.9257,0.9257,0.0249,35,0.9459459459459459,0.148
LD,0.8905,0.8905,0.0277,26,0.7027027027027027,0.098
LP,0.9376,0.9376,0.028,65,1.7567567567567568,0.23
ML,0.9296,0.9296,0.0251,35,0.9459459459459459,0.152
WT,0.943,0.943,0.0283,96,2.5945945945945947,0.268
LV,0.9252,0.9252,0.0233,33,0.8918918918918919,0.135
LD,0.89,0.89,0.0248,27,0.7297297297297297,0.108
LP,0.9485,0.9485,0.017,65,1.7567567567567568,0.233
ML,0.9158,0.9158,0.0333,34,0.918918918918919,0.155
WT,0.949,0.949,0.0215,96,2.5945945945945947,0.267
LV,0.9217,0.9217,0.0286,35,0.9459459459459459,0.146
LD,0.9004,0.9004,0.0251,28,0.7567567567567568,0.102
LP,0.95,0.95,0.0232,74,2,0.254
ML,0.9326,0.9326,0.0231,36,0.972972972972973,0.153
WT,0.9514,0.9514,0.0217,96,2.5945945945945947,0.268
LV,0.9257,0.9257,0.0308,36,0.972972972972973,0.155
LD,0.8999,0.8999,0.0226,29,0.7837837837837838,0.111
LP,0.943,0.943,0.0257,68,1.837837837837838,0.233
ML,0.9371,0.9371,0.0221,38,1.027027027027027,0.165
WT,0.9445,0.9445,0.0247,96,2.5945945945945947,0.271
LV,0.9311,0.9311,0.0259,38,1.027027027027027,0.17
LD,0.9083,0.9083,0.0183,29,0.7837837837837838,0.112
LP,0.9415,0.9415,0.025,67,1.8108108108108107,0.24
ML,0.9227,0.9227,0.0314,36,0.972972972972973,0.159
WT,0.9425,0.9425,0.0267,96,2.5945945945945947,0.272
LV,0.9227,0.9227,0.0308,35,0.9459459459459459,0.143
LD,0.9108,0.9108,0.0172,27,0.7297297297297297,0.103
LP,0.9381,0.9381,0.0294,70,1.8918918918918919,0.249
ML,0.9311,0.9311,0.022,35,0.9459459459459459,0.141
WT,0.9519,0.9519,0.0198,96,2.5945945945945947,0.265
LV,0.9291,0.9291,0.0242,36,0.972972972972973,0.157
LD,0.9078,0.9078,0.0315,30,0.8108108108108109,0.122
LP,0.942,0.942,0.0294,75,2.027027027027027,0.246
ML,0.9381,0.9381,0.0198,38,1.027027027027027,0.166
WT,0.945,0.945,0.0239,96,2.5945945945945947,0.263
LV,0.9311,0.9311,0.0231,35,0.9459459459459459,0.153
LD,0.887,0.887,0.0321,27,0.7297297297297297,0.105
