method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4157,0.5636,120,3.2432432432432434,0.607
LP,0.4182,0.4048,0.5588,68,1.837837837837838,0.555
ML,0.4182,0.3277,0.6103,25,0.6756756756756757,0.444
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3212,0.6166,25,0.6756756756756757,0.451
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4182,0.5614,121,3.27027027027027,0.606
LP,0.4182,0.3695,0.5882,58,1.5675675675675675,0.558
ML,0.4182,0.3267,0.6132,26,0.7027027027027027,0.445
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3267,0.6127,27,0.7297297297297297,0.459
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4142,0.5651,118,3.189189189189189,0.605
LP,0.4182,0.3814,0.5766,70,1.8918918918918919,0.578
ML,0.4182,0.3158,0.6189,23,0.6216216216216216,0.441
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3272,0.6122,26,0.7027027027027027,0.468
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4167,0.5629,117,3.1621621621621623,0.605
LP,0.4182,0.4003,0.5617,63,1.7027027027027026,0.546
ML,0.4182,0.3277,0.6121,25,0.6756756756756757,0.445
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3212,0.6145,23,0.6216216216216216,0.427
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4137,0.5655,117,3.1621621621621623,0.61
LP,0.4182,0.4008,0.5612,72,1.945945945945946,0.558
ML,0.4182,0.3332,0.6137,27,0.7297297297297297,0.476
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3287,0.6147,26,0.7027027027027027,0.452
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4177,0.5619,121,3.27027027027027,0.609
LP,0.4182,0.3824,0.5728,67,1.8108108108108107,0.556
ML,0.4182,0.3242,0.6135,25,0.6756756756756757,0.438
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3212,0.6159,24,0.6486486486486487,0.442
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4187,0.5608,122,3.2972972972972974,0.607
LP,0.4182,0.3695,0.5863,58,1.5675675675675675,0.572
ML,0.4182,0.3222,0.6147,25,0.6756756756756757,0.453
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3282,0.6169,27,0.7297297297297297,0.466
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4157,0.5638,120,3.2432432432432434,0.608
LP,0.4182,0.3635,0.5874,56,1.5135135135135136,0.568
ML,0.4182,0.3267,0.6119,24,0.6486486486486487,0.441
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3212,0.6176,25,0.6756756756756757,0.447
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4127,0.5663,117,3.1621621621621623,0.615
LP,0.4182,0.3774,0.58,61,1.6486486486486487,0.551
ML,0.4182,0.3257,0.6153,25,0.6756756756756757,0.454
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3182,0.6156,24,0.6486486486486487,0.427
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4157,0.5641,119,3.2162162162162162,0.605
LP,0.4182,0.3933,0.5658,72,1.945945945945946,0.569
ML,0.4182,0.3307,0.6112,26,0.7027027027027027,0.446
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3237,0.6157,25,0.6756756756756757,0.455
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4167,0.563,119,3.2162162162162162,0.607
LP,0.4182,0.3685,0.5814,59,1.5945945945945945,0.544
ML,0.4182,0.3277,0.6149,26,0.7027027027027027,0.462
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3252,0.6143,25,0.6756756756756757,0.449
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4142,0.565,118,3.189189189189189,0.604
LP,0.4182,0.3894,0.5745,70,1.8918918918918919,0.562
ML,0.4182,0.3272,0.61240000000000006,24,0.6486486486486487,0.445
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3257,0.6133,25,0.6756756756756757,0.442
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4142,0.5652,117,3.1621621621621623,0.612
LP,0.4182,0.3759,0.5804,68,1.837837837837838,0.549
ML,0.4182,0.3297,0.6127,26,0.7027027027027027,0.476
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3252,0.6125,24,0.6486486486486487,0.441
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4192,0.5613,119,3.2162162162162162,0.607
LP,0.4182,0.3595,0.5804,55,1.4864864864864864,0.533
ML,0.4182,0.3252,0.6174,26,0.7027027027027027,0.473
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3262,0.6161,26,0.7027027027027027,0.461
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4177,0.5619,118,3.189189189189189,0.605
LP,0.4182,0.363,0.584,51,1.3783783783783783,0.532
ML,0.4182,0.3352,0.6117,27,0.7297297297297297,0.469
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3212,0.6161,25,0.6756756756756757,0.455
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4117,0.567,117,3.1621621621621623,0.611
LP,0.4182,0.3715,0.5677,58,1.5675675675675675,0.529
ML,0.4182,0.3252,0.6152,25,0.6756756756756757,0.457
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3182,0.6144,24,0.6486486486486487,0.421
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4177,0.562,119,3.2162162162162162,0.604
LP,0.4182,0.3749,0.5776,63,1.7027027027027026,0.565
ML,0.4182,0.3277,0.6141,26,0.7027027027027027,0.458
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3163,0.6148,24,0.6486486486486487,0.42
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4127,0.5665,118,3.189189189189189,0.612
LP,0.4182,0.3958,0.5634,69,1.864864864864865,0.555
ML,0.4182,0.3257,0.6158,26,0.7027027027027027,0.471
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3227,0.617,26,0.7027027027027027,0.452
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4212,0.5594,122,3.2972972972972974,0.602
LP,0.4182,0.3729,0.5775,69,1.864864864864865,0.554
ML,0.4182,0.3232,0.6123,23,0.6216216216216216,0.442
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3182,0.6165,24,0.6486486486486487,0.428
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4172,0.5627,119,3.2162162162162162,0.603
LP,0.4182,0.3655,0.5886,58,1.5675675675675675,0.563
ML,0.4182,0.3277,0.6136,27,0.7297297297297297,0.459
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3252,0.6139,26,0.7027027027027027,0.452
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4132,0.566,118,3.189189189189189,0.618
LP,0.4182,0.372,0.5816,59,1.5945945945945945,0.571
ML,0.4182,0.3227,0.6141,25,0.6756756756756757,0.439
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3247,0.6144,25,0.6756756756756757,0.446
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4197,0.5603,120,3.2432432432432434,0.602
LP,0.4182,0.359,0.5873,56,1.5135135135135136,0.555
ML,0.4182,0.3257,0.6116,24,0.6486486486486487,0.437
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3272,0.61240000000000006,25,0.6756756756756757,0.443
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4212,0.559,123,3.324324324324324,0.604
LP,0.4182,0.3342,0.5518,50,1.3513513513513513,0.45
ML,0.4182,0.3202,0.615,25,0.6756756756756757,0.441
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3217,0.6126,23,0.6216216216216216,0.434
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4167,0.5632,119,3.2162162162162162,0.607
LP,0.4182,0.3327,0.5536,46,1.2432432432432432,0.434
ML,0.4182,0.3262,0.6112,25,0.6756756756756757,0.445
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3202,0.6148,23,0.6216216216216216,0.424
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4127,0.5663,118,3.189189189189189,0.609
LP,0.4182,0.3819,0.5756,68,1.837837837837838,0.553
ML,0.4182,0.3272,0.6145,25,0.6756756756756757,0.437
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3297,0.61240000000000006,26,0.7027027027027027,0.474
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4127,0.5664,120,3.2432432432432434,0.613
LP,0.4182,0.368,0.5844,58,1.5675675675675675,0.551
ML,0.4182,0.3212,0.6134,23,0.6216216216216216,0.418
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3242,0.6123,25,0.6756756756756757,0.434
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4147,0.5645,118,3.189189189189189,0.605
LP,0.4182,0.3894,0.5643,62,1.6756756756756757,0.548
ML,0.4182,0.3252,0.6111,24,0.6486486486486487,0.447
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3187,0.6171,24,0.6486486486486487,0.444
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4182,0.5616,121,3.27027027027027,0.603
LP,0.4182,0.3933,0.5614,70,1.8918918918918919,0.557
ML,0.4182,0.3272,0.614,26,0.7027027027027027,0.455
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3237,0.6145,26,0.7027027027027027,0.455
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4162,0.5633,118,3.189189189189189,0.602
LP,0.4182,0.356,0.595,52,1.4054054054054055,0.563
ML,0.4182,0.3307,0.6077,25,0.6756756756756757,0.431
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3287,0.6126,26,0.7027027027027027,0.444
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4182,0.5615,121,3.27027027027027,0.605
LP,0.4182,0.3799,0.5731,66,1.7837837837837838,0.575
ML,0.4182,0.3282,0.6125,26,0.7027027027027027,0.459
WT,0.4182,0.4326,0.5274,153,4.135135135135135,0.563
LV,0.4182,0.3262,0.6129,24,0.6486486486486487,0.443
FG,0.4182,0.3123,0.6187,24,0.6486486486486487,0.446
IM,0.4182,0.4167,0.5628,121,3.27027027027027,0.608
LP,0.4182,0.3759,0.5798,63,1.7027027027027026,0.565
ML,0.4182,0.3217,0.6121,23,0.6216216216216216,0.406
