"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.9",0.0776,0.0673,0.8919,42,1.13513513513514,0.929,0.1
"2","IM_cons_0.9",0.0776,0.0863,0.8773,72,1.94594594594595,0.896,0.1
"3","LP_cons_0.9",0.0776,0.2039,0.7628,124,3.35135135135135,0.779,0.1
"4","ML_cons_0.9",0.0776,0.0771,0.8847,49,1.32432432432432,0.929,0.1
"5","WT_cons_0.9",0.0776,0.0878,0.8752,75,2.02702702702703,0.885,0.1
"6","LV_cons_0.9",0.0776,0.0756,0.8852,48,1.2972972972973,0.928,0.1
