"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.9",0.244,0.201,0.7463,27,0.72972972972973,0.688,0.25
"2","IM_cons_0.9",0.244,0.2637,0.7074,105,2.83783783783784,0.787,0.25
"3","LP_cons_0.9",0.244,0.3679,0.5922,128,3.45945945945946,0.717,0.25
"4","ML_cons_0.9",0.244,0.2716,0.6958,77,2.08108108108108,0.782,0.25
"5","WT_cons_0.9",0.244,0.244,0.7063,87,2.35135135135135,0.767,0.25
"6","LV_cons_0.9",0.244,0.2706,0.6973,77,2.08108108108108,0.789,0.25
