method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.1075,0.1075,0.8451,40,Inf,1
LD,0.1005,0.1005,0.8315,38,Inf,1
LP,0.1506,0.1506,0.8101,75,Inf,1
ML,0.1095,0.1095,0.8442,41,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.1109,0.1109,0.8434,42,Inf,1
LD,0.0966,0.0966,0.8264,36,Inf,1
LP,0.16,0.16,0.8007,79,Inf,1
ML,0.1124,0.1124,0.843,43,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.1109,0.1109,0.8434,42,Inf,1
LD,0.0976,0.0976,0.8285,36,Inf,1
LP,0.1466,0.1466,0.8121,73,Inf,1
ML,0.1095,0.1095,0.8445,41,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.1095,0.1095,0.8442,41,Inf,1
LD,0.0971,0.0971,0.8227,35,Inf,1
LP,0.1417,0.1417,0.8185,71,Inf,1
ML,0.1114,0.1114,0.8422,41,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.1109,0.1109,0.8429,42,Inf,1
LD,0.0971,0.0971,0.8267,37,Inf,1
LP,0.1402,0.1402,0.8191,73,Inf,1
ML,0.109,0.109,0.8447,41,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.1105,0.1105,0.844,42,Inf,1
LD,0.0951,0.0951,0.8285,34,Inf,1
LP,0.1407,0.1407,0.8179,71,Inf,1
ML,0.1109,0.1109,0.8444,43,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.109,0.109,0.8447,41,Inf,1
LD,0.0956,0.0956,0.8249,35,Inf,1
LP,0.1426,0.1426,0.8172,69,Inf,1
ML,0.1105,0.1105,0.8446,42,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.1105,0.1105,0.8429,42,Inf,1
LD,0.0976,0.0976,0.8289,36,Inf,1
LP,0.1303,0.1303,0.8266,66,Inf,1
ML,0.11,0.11,0.8442,42,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.11,0.11,0.8453,43,Inf,1
LD,0.0981,0.0981,0.8302,35,Inf,1
LP,0.1308,0.1308,0.8277,65,Inf,1
ML,0.11,0.11,0.8438,41,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
LV,0.109,0.109,0.8441,41,Inf,1
LD,0.0981,0.0981,0.8283,37,Inf,1
LP,0.159,0.159,0.8027,76,Inf,1
ML,0.11,0.11,0.8425,40,Inf,1
WT,0.1491,0.1491,0.8106,102,Inf,1
