method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
IM,0.7129,0.5177,0.4703,129,3.4864864864864864,0.406
LP,0.7129,0.4292,0.4815,49,1.3243243243243243,0.265
ML,0.7129,0.4135,0.5316,25,0.6756756756756757,0.198
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4095,0.5308,23,0.6216216216216216,0.175
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5246,0.4644,136,3.675675675675676,0.406
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.4081,0.5328,24,0.6486486486486487,0.193
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4051,0.5308,24,0.6486486486486487,0.189
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4679,133,3.5945945945945947,0.4
LP,0.7129,0.4405,0.5031,50,1.3513513513513513,0.285
ML,0.7129,0.4056,0.5298,22,0.5945945945945946,0.178
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4076,0.5346,24,0.6486486486486487,0.192
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5167,0.4707,133,3.5945945945945947,0.403
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.4086,0.5314,24,0.6486486486486487,0.182
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.409,0.5328,25,0.6756756756756757,0.2
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5192,0.4696,131,3.5405405405405403,0.4
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.4031,0.5311,23,0.6216216216216216,0.179
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.3992,0.5341,21,0.5675675675675675,0.167
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5202,0.4688,130,3.5135135135135136,0.402
LP,0.7129,0.4626,0.4979,55,1.4864864864864864,0.311
ML,0.7129,0.4056,0.5327,24,0.6486486486486487,0.188
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.409,0.5287,22,0.5945945945945946,0.176
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4679,132,3.5675675675675675,0.4
LP,0.7129,0.4366,0.4928,52,1.4054054054054055,0.273
ML,0.7129,0.41,0.5317,25,0.6756756756756757,0.2
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4051,0.5356,24,0.6486486486486487,0.179
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5157,0.472,129,3.4864864864864864,0.404
LP,0.7129,0.0039,0.0137,10,0.2702702702702703,0.018
ML,0.7129,0.409,0.5337,24,0.6486486486486487,0.186
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.3987,0.5346,22,0.5945945945945946,0.158
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5211,0.4669,134,3.6216216216216215,0.4
LP,0.7129,0.4671,0.4919,62,1.6756756756756757,0.33
ML,0.7129,0.3963,0.5377,21,0.5675675675675675,0.171
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4095,0.5331,25,0.6756756756756757,0.197
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5187,0.4694,134,3.6216216216216215,0.408
LP,0.7129,0.0015,0.0088,7,0.1891891891891892,0.011
ML,0.7129,0.3997,0.5333,22,0.5945945945945946,0.178
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.412,0.5292,25,0.6756756756756757,0.189
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5241,0.4652,134,3.6216216216216215,0.402
LP,0.7129,0.4558,0.4987,60,1.6216216216216217,0.32
ML,0.7129,0.41,0.5308,23,0.6216216216216216,0.19
WT,0.7129,0.558,0.3919,231,6.243243243243243,0.413
LV,0.7129,0.4036,0.5318,24,0.6486486486486487,0.186
FG,0.7129,0.3933,0.5314,21,0.5675675675675675,0.155
IM,0.7129,0.5236,0.4657,135,3.6486486486486487,0.407
LP,0.7129,0.4523,0.5039,57,1.5405405405405406,0.314
