method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.3695,0.3695,0.5581,22,Inf,1
LD,0.2611,0.2611,0.4853,24,Inf,1
LP,0.4147,0.4147,0.5195,55,Inf,1
ML,0.3826,0.3826,0.5594,25,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3763,0.3763,0.5583,23,Inf,1
LD,0.2523,0.2523,0.4957,32,Inf,1
LP,0.4332,0.4332,0.5272,63,Inf,1
ML,0.3748,0.3748,0.5587,23,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3811,0.3811,0.556,25,Inf,1
LD,0.28,0.28,0.5257,21,Inf,1
LP,0.4166,0.4166,0.5204,50,Inf,1
ML,0.3777,0.3777,0.5595,24,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3768,0.3768,0.5564,23,Inf,1
LD,0.2786,0.2786,0.5206,15,Inf,1
LP,0.4074,0.4074,0.5303,54,Inf,1
ML,0.3807,0.3807,0.5586,24,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3797,0.3797,0.556,25,Inf,1
LD,0.2586,0.2586,0.4936,18,Inf,1
LP,0.4298,0.4298,0.5189,53,Inf,1
ML,0.3719,0.3719,0.5613,22,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3807,0.3807,0.5532,25,Inf,1
LD,0.281,0.281,0.5289,21,Inf,1
LP,0.4322,0.4322,0.5264,56,Inf,1
ML,0.3816,0.3816,0.5587,25,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3772,0.3772,0.555,24,Inf,1
LD,0.2649,0.2649,0.4824,23,Inf,1
LP,0.4482,0.4482,0.5092,62,Inf,1
ML,0.3763,0.3763,0.5583,24,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3758,0.3758,0.5564,23,Inf,1
LD,0.2713,0.2713,0.5147,23,Inf,1
LP,0.4643,0.4643,0.5052,82,Inf,1
ML,0.3797,0.3797,0.5495,24,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.3845,0.3845,0.5569,25,Inf,1
LD,0.2825,0.2825,0.5144,19,Inf,1
LP,0.4254,0.4254,0.5275,48,Inf,1
ML,0.385,0.385,0.5564,25,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
LV,0.385,0.385,0.5507,24,Inf,1
LD,0.2878,0.2878,0.5348,17,Inf,1
LP,0.437,0.437,0.5229,63,Inf,1
ML,0.3738,0.3738,0.5558,22,Inf,1
WT,0.4346,0.4346,0.4473,145,Inf,1
