"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.9",0.6699,0.3923,0.5366,19,0.513513513513513,0.191,0.55
"2","IM_cons_0.9",0.6699,0.6543,0.3383,379,10.2432432432432,0.468,0.55
"3","LP_cons_0.9",0.6699,0.8511,0.1454,736,19.8918918918919,0.505,0.55
"4","ML_cons_0.9",0.6699,0.6254,0.3638,328,8.86486486486486,0.466,0.55
"5","WT_cons_0.9",0.6699,0.4765,0.3954,188,5.08108108108108,0.402,0.55
"6","LV_cons_0.9",0.6699,0.6161,0.3718,321,8.67567567567568,0.465,0.55
