"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.5",0.3221,0.25,0.6895,31,0.837837837837838,0.602,0.3
"2","IM_cons_0.5",0.3221,0.3211,0.6508,108,2.91891891891892,0.696,0.3
"3","LP_cons_0.5",0.3221,0.3802,0.5863,169,4.56756756756757,0.662,0.3
"4","ML_cons_0.5",0.3221,0.2753,0.6843,60,1.62162162162162,0.708,0.3
"5","WT_cons_0.5",0.3221,0.3236,0.6292,115,3.10810810810811,0.65,0.3
"6","LV_cons_0.5",0.3221,0.2714,0.6876,55,1.48648648648649,0.71,0.3
