"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.5",0.3646,0.2837,0.6536,29,0.783783783783784,0.53,0.35
"2","IM_cons_0.5",0.3646,0.3592,0.6163,116,3.13513513513514,0.664,0.35
"3","LP_cons_0.5",0.3646,0.4148,0.5556,181,4.89189189189189,0.647,0.35
"4","ML_cons_0.5",0.3646,0.303,0.655,52,1.40540540540541,0.64,0.35
"5","WT_cons_0.5",0.3646,0.3592,0.5808,130,3.51351351351351,0.607,0.35
"6","LV_cons_0.5",0.3646,0.302,0.6545,52,1.40540540540541,0.628,0.35
