method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3161,0.6554,103,2.7837837837837838,0.695
LP,0.3221,0.3082,0.65,74,2,0.653
ML,0.3221,0.258,0.6918,32,0.8648648648648649,0.61
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.253,0.6942,30,0.8108108108108109,0.592
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3201,0.652,105,2.8378378378378377,0.69
LP,0.3221,0.3002,0.6575,63,1.7027027027027026,0.661
ML,0.3221,0.2505,0.6938,31,0.8378378378378378,0.602
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2575,0.6899,32,0.8648648648648649,0.605
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3176,0.6543,103,2.7837837837837838,0.697
LP,0.3221,0.3101,0.646,68,1.837837837837838,0.648
ML,0.3221,0.257,0.6891,31,0.8378378378378378,0.589
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2565,0.6913,31,0.8378378378378378,0.599
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3151,0.6563,103,2.7837837837837838,0.698
LP,0.3221,0.3166,0.6406,68,1.837837837837838,0.644
ML,0.3221,0.2545,0.6937,31,0.8378378378378378,0.608
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2619,0.6894,33,0.8918918918918919,0.624
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3166,0.6551,104,2.810810810810811,0.696
LP,0.3221,0.2962,0.6557,65,1.7567567567567568,0.654
ML,0.3221,0.2545,0.691,30,0.8108108108108109,0.591
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2525,0.6926,30,0.8108108108108109,0.588
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3201,0.6521,106,2.864864864864865,0.691
LP,0.3221,0.3241,0.63,73,1.972972972972973,0.63
ML,0.3221,0.2555,0.6933,33,0.8918918918918919,0.616
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2515,0.6931,32,0.8648648648648649,0.614
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3161,0.6555,103,2.7837837837837838,0.698
LP,0.3221,0.3082,0.6477,68,1.837837837837838,0.628
ML,0.3221,0.258,0.6892,30,0.8108108108108109,0.592
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2535,0.6936,32,0.8648648648648649,0.611
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3186,0.6532,104,2.810810810810811,0.693
LP,0.3221,0.3091,0.6494,72,1.945945945945946,0.65
ML,0.3221,0.2575,0.6932,34,0.918918918918919,0.629
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2584,0.6932,33,0.8918918918918919,0.62
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3166,0.6552,104,2.810810810810811,0.693
LP,0.3221,0.3459,0.6167,78,2.108108108108108,0.639
ML,0.3221,0.253,0.6966,32,0.8648648648648649,0.623
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2515,0.697,31,0.8378378378378378,0.603
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3206,0.6517,105,2.8378378378378377,0.696
LP,0.3221,0.3007,0.6477,66,1.7837837837837838,0.647
ML,0.3221,0.2545,0.6943,31,0.8378378378378378,0.608
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.255,0.6938,32,0.8648648648648649,0.618
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3171,0.6545,104,2.810810810810811,0.695
LP,0.3221,0.2992,0.6482,60,1.6216216216216217,0.652
ML,0.3221,0.252,0.6942,29,0.7837837837837838,0.589
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2575,0.6904,31,0.8378378378378378,0.603
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3161,0.6553,104,2.810810810810811,0.698
LP,0.3221,0.3052,0.6522,70,1.8918918918918919,0.656
ML,0.3221,0.2555,0.6939,33,0.8918918918918919,0.622
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2589,0.6905,31,0.8378378378378378,0.602
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3156,0.6559,104,2.810810810810811,0.699
LP,0.3221,0.3017,0.6537,68,1.837837837837838,0.665
ML,0.3221,0.2525,0.6938,30,0.8108108108108109,0.593
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2589,0.6918,32,0.8648648648648649,0.613
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3181,0.6536,104,2.810810810810811,0.698
LP,0.3221,0.2967,0.6601,63,1.7027027027027026,0.674
ML,0.3221,0.2535,0.6926,30,0.8108108108108109,0.59
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.257,0.6908,31,0.8378378378378378,0.593
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3171,0.6545,104,2.810810810810811,0.693
LP,0.3221,0.3012,0.6539,66,1.7837837837837838,0.647
ML,0.3221,0.256,0.6939,33,0.8918918918918919,0.62
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2535,0.6942,32,0.8648648648648649,0.622
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3176,0.6542,104,2.810810810810811,0.693
LP,0.3221,0.3012,0.6462,61,1.6486486486486487,0.639
ML,0.3221,0.254,0.6958,32,0.8648648648648649,0.614
WT,0.3221,0.3236,0.6292,116,3.135135135135135,0.65
LV,0.3221,0.2575,0.694,33,0.8918918918918919,0.635
FG,0.3221,0.25,0.6895,31,0.8378378378378378,0.602
IM,0.3221,0.3176,0.6541,104,2.810810810810811,0.696
LP,0.3221,0.30620000000000003,0.6463,58,1.5675675675675675,0.638
