method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.3913,0.3913,0.5401,18,Inf,1
LD,0.3061,0.3061,0.5026,17,Inf,1
LP,0.4525,0.4525,0.4938,56,Inf,1
ML,0.3888,0.3888,0.5441,19,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3947,0.3947,0.5393,18,Inf,1
LD,0.24,0.24,0.4297,17,Inf,1
LP,5e-4,5e-4,0.002,2,Inf,1
ML,0.3996,0.3996,0.5401,21,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3991,0.3991,0.5408,20,Inf,1
LD,0.2199,0.2199,0.3323,91,Inf,1
LP,0.4407,0.4407,0.5119,53,Inf,1
ML,0.3991,0.3991,0.5398,21,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3923,0.3923,0.5382,18,Inf,1
LD,0.2214,0.2214,0.3028,119,Inf,1
LP,0.4535,0.4535,0.5041,54,Inf,1
ML,0.3947,0.3947,0.5416,20,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3942,0.3942,0.5418,19,Inf,1
LD,0.2248,0.2248,0.3807,43,Inf,1
LP,0.4652,0.4652,0.496,61,Inf,1
ML,0.3869,0.3869,0.5419,18,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3913,0.3913,0.5422,18,Inf,1
LD,0.2116,0.2116,0.2909,127,Inf,1
LP,5e-4,5e-4,0.002,2,Inf,1
ML,0.3932,0.3932,0.5431,21,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3932,0.3932,0.5422,18,Inf,1
LD,0.1974,0.1974,0.2702,131,Inf,1
LP,0.4731,0.4731,0.494,63,Inf,1
ML,0.405,0.405,0.5381,21,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3928,0.3928,0.5403,20,Inf,1
LD,0.214,0.214,0.3467,72,Inf,1
LP,0.4662,0.4662,0.502,62,Inf,1
ML,0.3967,0.3967,0.5428,19,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3952,0.3952,0.5386,19,Inf,1
LD,0.2101,0.2101,0.2891,124,Inf,1
LP,0.0069,0.0069,0.017,5,Inf,1
ML,0.3986,0.3986,0.5374,19,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
LV,0.3932,0.3932,0.5416,18,Inf,1
LD,0.2321,0.2321,0.4298,16,Inf,1
LP,0.4579,0.4579,0.4914,64,Inf,1
ML,0.3962,0.3962,0.5414,19,Inf,1
WT,0.4765,0.4765,0.3954,188,Inf,1
