"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.2",0.244,0.201,0.7463,28,0.756756756756757,0.688,0.25
"2","IM_cons_0.2",0.244,0.2494,0.7207,89,2.40540540540541,0.802,0.25
"3","LP_cons_0.2",0.244,0.237,0.7211,54,1.45945945945946,0.76,0.25
"4","ML_cons_0.2",0.244,0.2025,0.7431,29,0.783783783783784,0.706,0.25
"5","WT_cons_0.2",0.244,0.244,0.7063,88,2.37837837837838,0.767,0.25
"6","LV_cons_0.2",0.244,0.2005,0.7374,29,0.783783783783784,0.679,0.25
