"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.9",0.3646,0.2837,0.6536,35,0.945945945945946,0.534,0.35
"2","IM_cons_0.9",0.3646,0.4054,0.5724,191,5.16216216216216,0.646,0.35
"3","LP_cons_0.9",0.3646,0.5986,0.3836,494,13.3513513513514,0.602,0.35
"4","ML_cons_0.9",0.3646,0.3979,0.5739,190,5.13513513513514,0.641,0.35
"5","WT_cons_0.9",0.3646,0.3592,0.5808,139,3.75675675675676,0.608,0.35
"6","LV_cons_0.9",0.3646,0.3949,0.5776,184,4.97297297297297,0.646,0.35
