method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.2881,0.2881,0.659,37,Inf,1
LD,0.2305,0.2305,0.6139,27,Inf,1
LP,0.3353,0.3353,0.6246,79,Inf,1
ML,0.2896,0.2896,0.6604,37,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2856,0.2856,0.6641,36,Inf,1
LD,0.2096,0.2096,0.5865,29,Inf,1
LP,0.3448,0.3448,0.6172,86,Inf,1
ML,0.2851,0.2851,0.6647,36,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2861,0.2861,0.6616,36,Inf,1
LD,0.2245,0.2245,0.6264,26,Inf,1
LP,0.3219,0.3219,0.6328,69,Inf,1
ML,0.2891,0.2891,0.6638,38,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2906,0.2906,0.6626,38,Inf,1
LD,0.2235,0.2235,0.6074,27,Inf,1
LP,0.3333,0.3333,0.6275,76,Inf,1
ML,0.2956,0.2956,0.6568,39,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2871,0.2871,0.6624,37,Inf,1
LD,0.229,0.229,0.6325,27,Inf,1
LP,0.315,0.315,0.6332,62,Inf,1
ML,0.2886,0.2886,0.6623,38,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2891,0.2891,0.6595,36,Inf,1
LD,0.229,0.229,0.6243,27,Inf,1
LP,0.3443,0.3443,0.616,84,Inf,1
ML,0.2906,0.2906,0.6576,37,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2956,0.2956,0.6548,38,Inf,1
LD,0.2265,0.2265,0.6136,27,Inf,1
LP,0.3189,0.3189,0.6145,66,Inf,1
ML,0.2881,0.2881,0.6613,36,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2951,0.2951,0.6578,38,Inf,1
LD,0.2255,0.2255,0.6171,26,Inf,1
LP,0.3214,0.3214,0.6338,71,Inf,1
ML,0.2896,0.2896,0.6632,38,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2861,0.2861,0.6635,36,Inf,1
LD,0.2201,0.2201,0.61240000000000006,24,Inf,1
LP,0.3378,0.3378,0.6221,70,Inf,1
ML,0.2866,0.2866,0.6571,36,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
LV,0.2886,0.2886,0.6606,36,Inf,1
LD,0.232,0.232,0.6151,28,Inf,1
LP,0.3333,0.3333,0.6276,73,Inf,1
ML,0.2891,0.2891,0.6616,38,Inf,1
WT,0.3592,0.3592,0.5808,139,Inf,1
