"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.2",0.3646,0.2837,0.6536,35,0.945945945945946,0.534,0.35
"2","IM_cons_0.2",0.3646,0.3443,0.6289,109,2.94594594594595,0.673,0.35
"3","LP_cons_0.2",0.3646,0.3343,0.6155,77,2.08108108108108,0.634,0.35
"4","ML_cons_0.2",0.3646,0.2846,0.6608,36,0.972972972972973,0.541,0.35
"5","WT_cons_0.2",0.3646,0.3592,0.5808,139,3.75675675675676,0.608,0.35
"6","LV_cons_0.2",0.3646,0.2891,0.6558,37,1,0.541,0.35
