method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4343,0.5474,123,3.324324324324324,0.589
LP,0.4495,0.3838,0.5698,63,1.7027027027027026,0.539
ML,0.4495,0.3451,0.6035,28,0.7567567567567568,0.455
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3475,0.5987,28,0.7567567567567568,0.436
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4343,0.5476,121,3.27027027027027,0.585
LP,0.4495,0.4015,0.5591,67,1.8108108108108107,0.536
ML,0.4495,0.3407,0.6041,28,0.7567567567567568,0.452
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3426,0.6037,28,0.7567567567567568,0.457
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4353,0.5465,123,3.324324324324324,0.587
LP,0.4495,0.3691,0.5723,57,1.5405405405405406,0.516
ML,0.4495,0.3417,0.6043,27,0.7297297297297297,0.457
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3417,0.6021,27,0.7297297297297297,0.429
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4373,0.5449,123,3.324324324324324,0.586
LP,0.4495,0.4034,0.5584,71,1.9189189189189189,0.544
ML,0.4495,0.3441,0.6002,28,0.7567567567567568,0.429
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3412,0.6039,27,0.7297297297297297,0.432
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4377,0.5444,123,3.324324324324324,0.58
LP,0.4495,0.3922,0.5644,62,1.6756756756756757,0.542
ML,0.4495,0.3431,0.6008,26,0.7027027027027027,0.429
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3461,0.5978,28,0.7567567567567568,0.428
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4368,0.5452,124,3.3513513513513513,0.582
LP,0.4495,0.3995,0.5635,68,1.837837837837838,0.539
ML,0.4495,0.3461,0.602,28,0.7567567567567568,0.452
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3412,0.602,28,0.7567567567567568,0.443
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4338,0.5479,121,3.27027027027027,0.584
LP,0.4495,0.4147,0.5517,74,2,0.546
ML,0.4495,0.3525,0.5945,29,0.7837837837837838,0.438
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3397,0.6035,27,0.7297297297297297,0.439
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4353,0.5465,123,3.324324324324324,0.59
LP,0.4495,0.3691,0.5647,62,1.6756756756756757,0.501
ML,0.4495,0.3397,0.5999,26,0.7027027027027027,0.418
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3387,0.6052,27,0.7297297297297297,0.431
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.4338,0.548,117,3.1621621621621623,0.586
LP,0.4495,0.4005,0.5623,68,1.837837837837838,0.561
ML,0.4495,0.3441,0.6043,28,0.7567567567567568,0.463
WT,0.4495,0.4451,0.5133,156,4.216216216216216,0.551
LV,0.4495,0.3461,0.6005,27,0.7297297297297297,0.448
FG,0.4495,0.3382,0.5949,25,0.6756756756756757,0.395
IM,0.4495,0.427,0.5538,116,3.135135135135135,0.595
LP,0.4495,0.4015,0.5581,70,1.8918918918918919,0.54
ML,0.4495,0.3436,0.6031,29,0.7837837837837838,0.456
