method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.2025,0.2025,0.743,28,Inf,1
LD,0.1832,0.1832,0.7331,23,Inf,1
LP,0.2543,0.2543,0.709,64,Inf,1
ML,0.201,0.201,0.7452,28,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2059,0.2059,0.7467,31,Inf,1
LD,0.1812,0.1812,0.7376,21,Inf,1
LP,0.2479,0.2479,0.7155,65,Inf,1
ML,0.2074,0.2074,0.7444,30,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2119,0.2119,0.7397,30,Inf,1
LD,0.1822,0.1822,0.7392,21,Inf,1
LP,0.2489,0.2489,0.715,60,Inf,1
ML,0.2114,0.2114,0.7403,30,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2114,0.2114,0.7394,30,Inf,1
LD,0.1837,0.1837,0.7361,23,Inf,1
LP,0.2435,0.2435,0.7109,60,Inf,1
ML,0.2114,0.2114,0.7425,31,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2059,0.2059,0.7461,31,Inf,1
LD,0.1842,0.1842,0.7375,23,Inf,1
LP,0.2538,0.2538,0.709,61,Inf,1
ML,0.2064,0.2064,0.7434,29,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2064,0.2064,0.742,28,Inf,1
LD,0.1847,0.1847,0.7417,23,Inf,1
LP,0.2435,0.2435,0.72,63,Inf,1
ML,0.2069,0.2069,0.744,30,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2069,0.2069,0.7455,31,Inf,1
LD,0.1807,0.1807,0.7333,22,Inf,1
LP,0.2454,0.2454,0.7172,61,Inf,1
ML,0.2089,0.2089,0.7423,30,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2099,0.2099,0.7405,30,Inf,1
LD,0.1847,0.1847,0.7432,23,Inf,1
LP,0.2528,0.2528,0.7101,64,Inf,1
ML,0.2054,0.2054,0.7452,30,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.2128,0.2128,0.741,31,Inf,1
LD,0.1847,0.1847,0.7427,23,Inf,1
LP,0.24,0.24,0.7223,58,Inf,1
ML,0.2079,0.2079,0.7416,30,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
LV,0.204,0.204,0.7453,29,Inf,1
LD,0.1852,0.1852,0.7382,23,Inf,1
LP,0.243,0.243,0.718,58,Inf,1
ML,0.204,0.204,0.7448,29,Inf,1
WT,0.244,0.244,0.7063,88,Inf,1
