"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.2",0.1293,0.109,0.8465,43,1.16216216216216,0.874,0.15
"2","IM_cons_0.2",0.1293,0.1402,0.8225,89,2.40540540540541,0.849,0.15
"3","LP_cons_0.2",0.1293,0.1347,0.8156,63,1.7027027027027,0.845,0.15
"4","ML_cons_0.2",0.1293,0.108,0.8416,39,1.05405405405405,0.826,0.15
"5","WT_cons_0.2",0.1293,0.1491,0.8106,102,2.75675675675676,0.827,0.15
"6","LV_cons_0.2",0.1293,0.1095,0.8405,41,1.10810810810811,0.827,0.15
