"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.5",0.6699,0.3923,0.5366,19,0.513513513513513,0.191,0.55
"2","IM_cons_0.5",0.6699,0.5426,0.4471,171,4.62162162162162,0.439,0.55
"3","LP_cons_0.5",0.6699,0.5975,0.3881,234,6.32432432432432,0.45,0.55
"4","ML_cons_0.5",0.6699,0.477,0.4942,99,2.67567567567568,0.383,0.55
"5","WT_cons_0.5",0.6699,0.4765,0.3953,172,4.64864864864865,0.397,0.55
"6","LV_cons_0.5",0.6699,0.4838,0.4891,104,2.81081081081081,0.388,0.55
