method,mu_built_in,mu_emp,mod,nc,nc_norm,nmi
LV,0.9278,0.9278,0.0345,39,1.054054054054054,0.18
LD,0.92,0.92,0.0393,37,1,0.164
LP,0.9385,0.9385,0.036,72,1.945945945945946,0.248
ML,0.9224,0.9224,0.0378,39,1.054054054054054,0.177
WT,0.942,0.942,0.0309,76,2.054054054054054,0.249
LV,0.9244,0.9244,0.0415,41,1.1081081081081081,0.187
LD,0.9307,0.9307,0.0289,38,1.027027027027027,0.176
LP,0.9385,0.9385,0.0353,64,1.7297297297297298,0.233
ML,0.9298,0.9298,0.0353,41,1.1081081081081081,0.189
WT,0.941,0.941,0.0343,76,2.054054054054054,0.246
LV,0.9263,0.9263,0.0364,39,1.054054054054054,0.168
LD,0.9244,0.9244,0.0333,37,1,0.163
LP,0.9327,0.9327,0.0414,75,2.027027027027027,0.26
ML,0.9351,0.9351,0.0304,41,1.1081081081081081,0.179
WT,0.9434,0.9434,0.0304,76,2.054054054054054,0.245
LV,0.9263,0.9263,0.0362,39,1.054054054054054,0.17
LD,0.9288,0.9288,0.0315,37,1,0.164
LP,0.9356,0.9356,0.0375,70,1.8918918918918919,0.248
ML,0.9341,0.9341,0.0314,41,1.1081081081081081,0.185
WT,0.94,0.94,0.0346,76,2.054054054054054,0.251
LV,0.9278,0.9278,0.0376,42,1.135135135135135,0.186
LD,0.9273,0.9273,0.031,36,0.972972972972973,0.164
LP,0.9346,0.9346,0.0395,75,2.027027027027027,0.255
ML,0.9298,0.9298,0.0344,41,1.1081081081081081,0.18
WT,0.9439,0.9439,0.0324,76,2.054054054054054,0.248
LV,0.9224,0.9224,0.0421,40,1.0810810810810811,0.191
LD,0.9263,0.9263,0.0317,38,1.027027027027027,0.16
LP,0.9361,0.9361,0.0358,75,2.027027027027027,0.247
ML,0.9234,0.9234,0.0408,42,1.135135135135135,0.191
WT,0.9405,0.9405,0.0341,76,2.054054054054054,0.243
LV,0.9371,0.9371,0.0272,41,1.1081081081081081,0.191
LD,0.9229,0.9229,0.036,37,1,0.161
LP,0.941,0.941,0.0333,68,1.837837837837838,0.243
ML,0.9278,0.9278,0.0367,40,1.0810810810810811,0.182
WT,0.9429,0.9429,0.0329,76,2.054054054054054,0.25
LV,0.9283,0.9283,0.035,40,1.0810810810810811,0.173
LD,0.9259,0.9259,0.0315,37,1,0.157
LP,0.9376,0.9376,0.0361,68,1.837837837837838,0.244
ML,0.9259,0.9259,0.0404,42,1.135135135135135,0.2
WT,0.942,0.942,0.0317,76,2.054054054054054,0.242
LV,0.9244,0.9244,0.0371,39,1.054054054054054,0.18
LD,0.9302,0.9302,0.029,38,1.027027027027027,0.167
LP,0.9376,0.9376,0.0355,71,1.9189189189189189,0.251
ML,0.9263,0.9263,0.0335,39,1.054054054054054,0.18
WT,0.939,0.939,0.0343,76,2.054054054054054,0.252
LV,0.9283,0.9283,0.0346,41,1.1081081081081081,0.193
LD,0.92490000000000006,0.92490000000000006,0.0336,37,1,0.157
LP,0.94,0.94,0.0346,74,2,0.256
ML,0.9341,0.9341,0.0297,41,1.1081081081081081,0.177
WT,0.941,0.941,0.0335,76,2.054054054054054,0.248
