"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.9",0.4495,0.3382,0.5949,25,0.675675675675676,0.395,0.45
"2","IM_cons_0.9",0.4495,0.5358,0.451,280,7.56756756756757,0.583,0.45
"3","LP_cons_0.9",0.4495,0.7206,0.2701,607,16.4054054054054,0.566,0.45
"4","ML_cons_0.9",0.4495,0.5098,0.4712,255,6.89189189189189,0.577,0.45
"5","WT_cons_0.9",0.4495,0.4451,0.5133,156,4.21621621621622,0.551,0.45
"6","LV_cons_0.9",0.4495,0.5167,0.464,258,6.97297297297297,0.568,0.45
