"","method","mu_built_in","mu_emp","mod","nc","nc_norm","nmi","mu_nominal"
"1","FG_cons_0.5",0.1293,0.109,0.8465,41,1.10810810810811,0.873,0.15
"2","IM_cons_0.5",0.1293,0.1402,0.8225,87,2.35135135135135,0.848,0.15
"3","LP_cons_0.5",0.1293,0.1496,0.8113,91,2.45945945945946,0.829,0.15
"4","ML_cons_0.5",0.1293,0.1119,0.8437,45,1.21621621621622,0.884,0.15
"5","WT_cons_0.5",0.1293,0.1491,0.8106,100,2.7027027027027,0.827,0.15
"6","LV_cons_0.5",0.1293,0.1109,0.8443,43,1.16216216216216,0.877,0.15
