q3;q5;qualifica_codice;qualifica;professional_group;PG
1.3.1;1.3.1.9;1.3.1.9.2.0;IMPRENDITORI E RESPONSABILI DI PICCOLE AZIENDE NEI SERVIZI DI SANITÀ E ASSISTENZA SOCIALE;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.2.1;IMPRENDITORE O RESPONSABILE DI PICCOLA COMUNITÀ DI RECUPERO;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.2.2;IMPRENDITORE O RESPONSABILE DI PICCOLA STRUTTURA SANITARIA PRIVATA;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.0;IMPRENDITORI E RESPONSABILI DI PICCOLE AZIENDE NEL SETTORE DELLE ATTIVITÀ SPORTIVE;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.1;IMPRENDITORE O RESPONSABILE DI PICCOLA AZIENDA PER ATTIVITÀ DI INTRATTENIMENTO;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.2;IMPRENDITORE O RESPONSABILE DI PICCOLA AZIENDA PER LE ATTIVITÀ CULTURALI;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.3;IMPRENDITORE O RESPONSABILE DI PICCOLO CENTRO SPORTIVO;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.4;IMPRENDITORE O RESPONSABILE DI PICCOLO LOCALE NOTTURNO;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.5;IMPRENDITORE O RESPONSABILE DI SALA GIOCHI;manager, entrepreneur;MAN
1.3.1;1.3.1.9;1.3.1.9.3.6;IMPRESARIO TEATRALE (PICCOLA SOCIETÀ TEATRALE);manager, entrepreneur;MAN
2.1.1;2.1.1.1;2.1.1.1.1.0;FISICI;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.1.1;CAPO LABORATORIO FISICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.1.2;FISICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.1.4;FISICO CONSULENTE IN MISSILISTICA;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.1.5;FISICO ESPERTO DI ACCELERATORI DI PARTICELLE;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.1.6;FISICO ESPERTO TECNICHE DEL VUOTO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.1.7;FISICO NUCLEARE;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.2.0;ASTRONOMI ED ASTROFISICI;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.2.1;ASTROFISICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.2.2;ASTROFISICO EXTRAGALATTICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.2.3;ASTRONOMO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.1;2.1.1.1.2.6;ASTRONOMO TECNOLOGO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.0;CHIMICI E PROFESSIONI ASSIMILATE;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.1;ANALISTA CHIMICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.10;CHIMICO FARMACEUTICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.11;CHIMICO FISICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.12;CHIMICO INDUSTRIALE;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.13;CHIMICO METALLURGICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.15;CHIMICO ORGANICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.17;INGEGNERE BIOTECNOLOGICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.18;RESPONSABILE LABORATORIO CHIMICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.2;CAPO LABORATORIO CHIMICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.3;CHIMICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.4;CHIMICO AGRARIO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.1.5;CHIMICO ALIMENTI;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.2.0;CHIMICI INFORMATORI E DIVULGATORI;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.2.1;INFORMATORE MEDICO SCIENTIFICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.2;2.1.1.2.2.2;INFORMATORE SCIENTIFICO DEL FARMACO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.1.0;MATEMATICI;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.1.1;MATEMATICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.1.3;MATEMATICO ESPERTO IN MATEMATICA APPLICATA;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.0;STATISTICI;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.1;ATTUARIO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.2;ESPERTO IN RICERCA OPERATIVA;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.3;STATISTICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.5;STATISTICO ECONOMICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.6;STATISTICO ESPERTO IN CONTROLLI DI QUALITÀ;phis, chem, mat, stat;PCM
2.1.1;2.1.1.3;2.1.1.3.2.7;STATISTICO METODOLOGICO;phis, chem, mat, stat;PCM
2.1.1;2.1.1.4;2.1.1.4.1.0;ANALISTI E PROGETTISTI DI SOFTWARE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.1;ANALISTA DI PROCEDURE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.10;PROGETTISTA DI SISTEMI VOCALI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.11;PROGETTISTA DI SOFTWARE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.12;PROGETTISTA SISTEMI ELABORAZIONI VOCI ED IMMAGINI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.13;PROGETTISTA SISTEMI MULTIMEDIALI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.14;SPECIALISTA DI SISTEMI MULTIPIATTAFORMA;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.15;SPECIALISTA INTEGRAZIONE E COLLAUDO SOFTWARE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.16;SPECIALISTA PROGETTISTA DI PRODOTTI DI EDITORIA ELETTRONICA;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.17;SVILUPPATORE SOFTWARE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.2;ANALISTA DI PROGRAMMI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.3;ANALISTA PROGRAMMATORE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.4;ANALISTA PROGRAMMATORE EDP;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.5;BIOINFORMATICO;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.6;CAPO PROGETTO INFORMATICO;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.7;CONSULENTE PER LE APPLICAZIONI GESTIONALI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.8;CONSULENTE PER LE APPLICAZIONI INFORMATICHE INDUSTRIALI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.1.9;INGEGNERE DEL SOFTWARE;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.0;ANALISTI DI SISTEMA;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.1;ANALISTA DI BUSINESS;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.2;ANALISTA DI SISTEMA;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.3;ANALISTA DI SISTEMI INFORMATIVI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.4;CAPOPROGETTO DI SISTEMI INFORMATIVI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.5;PROGETTISTA DI SISTEMI INFORMATICI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.6;RESPONSABILE DI SISTEMI INFORMATIVI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.2.7;REVISORE DI SISTEMI INFORMATIVI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.3.0;ANALISTI E PROGETTISTI DI APPLICAZIONI WEB;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.3.1;ESPERTO DI APPLICAZIONI WEB;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.3.2;PROGETTISTA SITI WEB (INTERNET);ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.3.3;SPECIALISTA DI APPLICAZIONI WEB E MULTIMEDIALI;ICT;ICT
2.1.1;2.1.1.4;2.1.1.4.3.4;WEB DESIGNER;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.1.0;SPECIALISTI IN RETI E COMUNICAZIONI INFORMATICHE;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.1.1;PROGETTISTA RETI INFORMATICHE;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.1.2;RESPONSABILE DI RETI INFORMATICHE;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.1.3;SPECIALISTA IN RETI E COMUNICAZIONI INFORMATICHE;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.2.0;ANALISTI E PROGETTISTI DI BASI DATI;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.2.1;ANALISTA DI BASI DATI;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.2.2;PROGETTISTA DI BASI DATI;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.2.3;RESPONSABILE DI BASI DATI;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.3.0;AMMINISTRATORI DI SISTEMI;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.3.1;RESPONSABILE DELLA CONFIGURAZIONE E DEL CENTRO DATI;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.3.2;SISTEMISTA;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.3.3;SISTEMISTA MULTIPIATTAFORMA;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.4.0;SPECIALISTI IN SICUREZZA INFORMATICA;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.4.1;CONSULENTE PER LA SICUREZZA INFORMATICA;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.4.2;SPECIALISTA IN SICUREZZA INFORMATICA;ICT;ICT
2.1.1;2.1.1.5;2.1.1.5.4.3;SPECIALISTA SICUREZZA DI RETE (TRANSAZIONI E-COMMERCE);ICT;ICT
2.1.1;2.1.1.6;2.1.1.6.1.0;GEOLOGI;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.1.4;GEOLOGO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.1.7;SPELEOLOGO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.2.1;PALEONTOLOGO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.3.1;GEOFISICO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.3.2;SISMOLOGO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.4.1;CLIMATOLOGO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.4.2;METEOROLOGO;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.5.0;IDROLOGI;geo, bio, env;GBE
2.1.1;2.1.1.6;2.1.1.6.5.1;OCEANOGRAFO;geo, bio, env;GBE
2.2.1;2.2.1.1;2.2.1.1.1.0;INGEGNERI MECCANICI;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.1.1;INGEGNERE MECCANICO;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.2.0;INGEGNERI NAVALI;engineer;NAV
2.2.1;2.2.1.1;2.2.1.1.2.1;INGEGNERE NAVALE;engineer;NAV
2.2.1;2.2.1.1;2.2.1.1.3.0;INGEGNERI AEROSPAZIALI E ASTRONAUTICI;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.3.1;INGEGNERE AERONAUTICO;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.3.2;INGEGNERE AEROSPAZIALE;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.4.0;INGEGNERI ENERGETICI E NUCLEARI;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.4.1;INGEGNERE ENERGETICO;engineer;ENG
2.2.1;2.2.1.1;2.2.1.1.4.2;INGEGNERE NUCLEARE;engineer;ENG
2.2.1;2.2.1.2;2.2.1.2.1.0;INGEGNERI METALLURGICI;engineer;ENG
2.2.1;2.2.1.2;2.2.1.2.1.1;INGEGNERE METALLURGICO;engineer;ENG
2.2.1;2.2.1.2;2.2.1.2.2.1;INGEGNERE MINERARIO;engineer;ENG
2.2.1;2.2.1.3;2.2.1.3.0.0;INGEGNERI ELETTROTECNICI E DELL'AUTOMAZIONE INDUSTRIALE;engineer;ENG
2.2.1;2.2.1.3;2.2.1.3.0.1;INGEGNERE DELL'AUTOMAZIONE INDUSTRIALE;engineer;ENG
2.2.1;2.2.1.3;2.2.1.3.0.2;INGEGNERE ELETTROMECCANICO;engineer;ENG
2.2.1;2.2.1.3;2.2.1.3.0.3;INGEGNERE ELETTROTECNICO;engineer;ENG
2.2.1;2.2.1.3;2.2.1.3.0.4;INGEGNERE PROGETTISTA DI MODELLI DI QUALITÀ E AFFIDABILITÀ ELETTRICA;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.1.0;INGEGNERI ELETTRONICI;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.1.1;INGEGNERE ELETTRONICO;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.2.0;INGEGNERI PROGETTISTI DI CALCOLATORI E LORO PERIFERICHE;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.2.3;INGEGNERE PROGETTISTA DI CALCOLATORI E LORO PERIFERICHE;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.3.0;INGEGNERI IN TELECOMUNICAZIONI;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.3.1;INGEGNERE ESPERTO IN ONDE RADIO E MICROONDE;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.3.2;INGEGNERE IN TELECOMUNICAZIONI;engineer;ENG
2.2.1;2.2.1.4;2.2.1.4.3.3;INGEGNERE PROGETTISTA DELLE TELECOMUNICAZIONI;engineer;ENG
2.2.1;2.2.1.5;2.2.1.5.1.0;INGEGNERI CHIMICI E PETROLIFERI;engineer;ENG
2.2.1;2.2.1.5;2.2.1.5.1.1;INGEGNERE CHIMICO;engineer;ENG
2.2.1;2.2.1.5;2.2.1.5.2.0;INGEGNERI DEI MATERIALI;engineer;ENG
2.2.1;2.2.1.5;2.2.1.5.2.1;INGEGNERE DEI MATERIALI;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.1.0;INGEGNERI EDILI E AMBIENTALI;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.1.1;INGEGNERE AMBIENTALE;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.1.2;INGEGNERE CIVILE;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.1.3;INGEGNERE DEI TRASPORTI;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.1.4;INGEGNERE EDILE;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.1.5;INGEGNERE PROGETTISTA DI IMPIANTI DI TRATTAMENTO E SMALTIMENTO DEI RIFIUTI;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.2.0;INGEGNERI IDRAULICI;engineer;ENG
2.2.1;2.2.1.6;2.2.1.6.2.1;INGEGNERE IDRAULICO;engineer;ENG
2.2.1;2.2.1.7;2.2.1.7.0.0;INGEGNERI INDUSTRIALI E GESTIONALI;engineer;ENG
2.2.1;2.2.1.7;2.2.1.7.0.1;INGEGNERE CERTIFICATORE DELLE PROCEDURE DI QUALITÀ;engineer;ENG
2.2.1;2.2.1.7;2.2.1.7.0.2;INGEGNERE ESPERTO DI QUALITÀ GLOBALE;engineer;ENG
2.2.1;2.2.1.8;2.2.1.8.0.0;INGEGNERI BIOMEDICI E BIOINGEGNERI;engineer;ENG
2.2.1;2.2.1.8;2.2.1.8.0.1;BIOINGEGNERE;engineer;ENG
2.2.1;2.2.1.8;2.2.1.8.0.2;INGEGNERE BIOMEDICO;engineer;ENG
2.2.2;2.2.2.1;2.2.2.1.1.0;ARCHITETTI;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.1.1;ARCHITETTO;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.1.2;ARCHITETTO ARREDATORE;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.1.3;ARCHITETTO DI INTERNI;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.1.4;ARCHITETTO EDILE;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.1.5;ARCHITETTO NAVALE;architect;NAV
2.2.2;2.2.2.1;2.2.2.1.1.6;ARCHITETTO SCENOGRAFO;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.0;PIANIFICATORI;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.1;ARCHITETTO PAESAGGISTA;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.2;ARCHITETTO PROGETTISTA DI STRUTTURE E SERVIZI AMBIENTE COMPATIBILI;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.3;CONSERVATORE DEI BENI ARCHITETTONICI E AMBIENTALI;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.4;ESPERTO IN GESTIONE AMBIENTALE E RECUPERO DEL TERRITORIO;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.6;PIANIFICATORE TERRITORIALE;architect;ARC
2.2.2;2.2.2.1;2.2.2.1.2.7;URBANISTA;architect;ARC
2.2.2;2.2.2.2;2.2.2.2.0.0;CARTOGRAFI E FOTOGRAMMETRISTI;architect;ARC
2.2.2;2.2.2.2;2.2.2.2.0.1;CARTOGRAFO;architect;ARC
2.2.2;2.2.2.2;2.2.2.2.0.2;CARTOGRAFO FOTOGRAMMETRISTA;architect;ARC
2.2.2;2.2.2.2;2.2.2.2.0.3;FOTOGRAMMETRISTA;architect;ARC
2.3.1;2.3.1.1;2.3.1.1.1.0;BIOLOGI E PROFESSIONI ASSIMILATE;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.1.1;BIOLOGO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.1.2;BIOLOGO LABORATORISTA;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.1.4;BIOLOGO NUTRIZIONISTA;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.1.6;MICROSCOPISTA BIOLOGO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.2.0;BIOCHIMICI;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.2.1;BIOCHIMICO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.3.1;BIOFISICO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.4.0;BIOTECNOLOGI;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.4.1;TECNOLOGO ALIMENTARE;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.5.0;BOTANICI;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.6.0;ZOOLOGI;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.6.1;ENTOMOLOGO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.6.4;SPECIALISTA IN ACQUACOLTURA;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.7.0;ECOLOGI;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.7.2;BIOLOGO MARINO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.7.3;ECOLOGO;geo, bio, env;BIO
2.3.1;2.3.1.1;2.3.1.1.7.5;NATURALISTA;geo, bio, env;BIO
2.3.1;2.3.1.2;2.3.1.2.1.0;FARMACOLOGI;geo, bio, env;FAR
2.3.1;2.3.1.2;2.3.1.2.1.1;FARMACISTA INDUSTRIALE;geo, bio, env;FAR
2.3.1;2.3.1.2;2.3.1.2.1.2;FARMACOLOGO;geo, bio, env;FAR
2.3.1;2.3.1.2;2.3.1.2.1.3;TOSSICOLOGO;geo, bio, env;FAR
2.3.1;2.3.1.2;2.3.1.2.2.0;MICROBIOLOGI;geo, bio, env;FAR
2.3.1;2.3.1.2;2.3.1.2.2.1;BATTERIOLOGO;geo, bio, env;FAR
2.3.1;2.3.1.2;2.3.1.2.2.2;MICROBIOLOGO;geo, bio, env;FAR
2.3.1;2.3.1.3;2.3.1.3.0.0;AGRONOMI E FORESTALI;geo, bio, env;AGR
2.3.1;2.3.1.3;2.3.1.3.0.1;AGRONOMO;geo, bio, env;AGR
2.3.1;2.3.1.3;2.3.1.3.0.2;DOTTORE AGRONOMO;geo, bio, env;AGR
2.3.1;2.3.1.3;2.3.1.3.0.7;DOTTORE FORESTALE;geo, bio, env;AGR
2.6.1;2.6.1.1;2.6.1.1.1.0;DOCENTI UNIVERSITARI IN SCIENZE MATEMATICHE E DELL'INFORMAZIONE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.1.1;DOCENTE UNIVERSITARIO DI INFORMATICA;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.1.2;DOCENTE UNIVERSITARIO IN SCIENZE DELL'INFORMAZIONE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.1.3;DOCENTE UNIVERSITARIO IN SCIENZE MATEMATICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.1.4;INSEGNANTE UNIVERSITARIO DI INFORMATICA;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.1.5;PROFESSORE UNIVERSITARIO DI INFORMATICA;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.2.0;DOCENTI UNIVERSITARI IN SCIENZE FISICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.2.1;DOCENTE UNIVERSITARIO IN SCIENZE FISICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.2.3;PROFESSORE UNIVERSITARIO IN SCIENZE FISICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.3.0;DOCENTI UNIVERSITARI IN SCIENZE CHIMICHE E FARMACEUTICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.3.1;DOCENTE UNIVERSITARIO IN SCIENZE CHIMICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.3.3;INSEGNANTE UNIVERSITARIO IN SCIENZE CHIMICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.3.4;PROFESSORE UNIVERSITARIO IN SCIENZE CHIMICHE;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.4.0;DOCENTI UNIVERSITARI IN SCIENZE DELLA TERRA;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.4.1;DOCENTE UNIVERSITARIO IN SCIENZE DELLA TERRA;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.4.2;INSEGNANTE UNIVERSITARIO IN SCIENZE DELLA TERRA;university, research;UNI
2.6.1;2.6.1.1;2.6.1.1.4.3;PROFESSORE UNIVERSITARIO IN SCIENZE DELLA TERRA;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.1.0;DOCENTI UNIVERSITARI IN SCIENZE INGEGNERISTICHE CIVILI E DELL’ARCHITETTURA;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.1.1;DOCENTE UNIVERSITARIO DI ARCHITETTURA;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.1.2;DOCENTE UNIVERSITARIO DI INGEGNERIA CIVILE;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.1.3;DOCENTE UNIVERSITARIO IN SCIENZE INGEGNERISTICHE CIVILI;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.1.4;INSEGNANTE UNIVERSITARIO DI ARCHITETTURA;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.1.5;PROFESSORE UNIVERSITARIO DI ARCHITETTURA;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.2.0;DOCENTI UNIVERSITARI IN SCIENZE INGEGNERISTICHE INDUSTRIALI E DELL’INFORMAZIONE;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.2.1;DOCENTE UNIVERSITARIO DI INGEGNERIA INDUSTRIALE;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.2.2;INSEGNANTE UNIVERSITARIO DI INGEGNERIA INDUSTRIALE;university, research;UNI
2.6.1;2.6.1.3;2.6.1.3.2.3;PROFESSORE UNIVERSITARIO DI INGEGNERIA INDUSTRIALE;university, research;UNI
2.6.1;2.6.1.6;2.6.1.6.0.0;DOCENTI UNIVERSITARI IN SCIENZE ECONOMICHE E STATISTICHE;university, research;UNI
2.6.1;2.6.1.6;2.6.1.6.0.1;DOCENTE UNIVERSITARIO DI DISCIPLINE ECONOMICHE;university, research;UNI
2.6.1;2.6.1.6;2.6.1.6.0.3;DOCENTE UNIVERSITARIO DI GEOGRAFIA GENERALE ED ECONOMICA;university, research;UNI
2.6.1;2.6.1.6;2.6.1.6.0.4;DOCENTE UNIVERSITARIO IN SCIENZE STATISTICHE;university, research;UNI
2.6.1;2.6.1.6;2.6.1.6.0.5;INSEGNANTE UNIVERSITARIO IN SCIENZE STATISTICHE;university, research;UNI
2.6.1;2.6.1.7;2.6.1.7.1.0;DOCENTI UNIVERSITARI IN SCIENZE GIURIDICHE;university, research;UNI
2.6.1;2.6.1.7;2.6.1.7.1.1;DOCENTE UNIVERSITARIO DI DISCIPLINE GIURIDICHE;university, research;UNI
2.6.1;2.6.1.7;2.6.1.7.1.3;PROFESSORE UNIVERSITARIO DI DISCIPLINE GIURIDICHE;university, research;UNI
2.6.1;2.6.1.7;2.6.1.7.2.0;DOCENTI UNIVERSITARI IN SCIENZE POLITICHE E SOCIALI;university, research;UNI
2.6.1;2.6.1.7;2.6.1.7.2.1;DOCENTE UNIVERSITARIO DI SCIENZE POLITICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.1.0;RICERCATORI E TECNICI LAUREATI NELLE SCIENZE MATEMATICHE E DELL’INFORMAZIONE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.1.1;ASSEGNISTA DI RICERCA NELLE SCIENZE DELL'INFORMAZIONE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.1.2;ASSEGNISTA DI RICERCA NELLE SCIENZE MATEMATICHE;university, research;UNI
2.6.2;2.6.2.1;2.6.2.1.1.3;RICERCATORE UNIVERSITARIO NELLE SCIENZE DELL’INFORMAZIONE;university, research;UNI
