sede_op_ateco;NACE;NACE_group;Colonna1
25.11.00;25;MAN;
25.73.12;25;MAN;
25.50.00;25;MAN;
25.50.00;25;MAN;
25.29.00;25;MAN;
25.29.00;25;MAN;
26.30.29;26;MAN;
26.60.02;26;MAN;
26.11.09;26;MAN;
26.40.01;26;MAN;
26.51.10;26;MAN;
26.30.29;26;MAN;
26.20.00;26;MAN;
26.51.29;26;MAN;
26.20.00;26;MAN;
26.51.10;26;MAN;
26.51.0;26;MAN;
26.12.00;26;MAN;
26.60.02;26;MAN;
26.30.29;26;MAN;
26.30.29;26;MAN;
26.20.00;26;MAN;
26.30.10;26;MAN;
26.11.09;26;MAN;
26.30.29;26;MAN;
26.30.29;26;MAN;
26.22.0;26;MAN;
26.40.02;26;MAN;
26.20.00;26;MAN;
26.12.00;26;MAN;
26.40.02;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.60.02;26;MAN;
26.20.00;26;MAN;
26.70.20;26;MAN;
26.70.20;26;MAN;
26.51.29;26;MAN;
26.20.00;26;MAN;
26.60.02;26;MAN;
26.51.29;26;MAN;
26.12.00;26;MAN;
26.51.29;26;MAN;
26.30.29;26;MAN;
26.30.29;26;MAN;
26.30.29;26;MAN;
26.30.29;26;MAN;
26.20.00;26;MAN;
26.51.29;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.51.29;26;MAN;
26.12.00;26;MAN;
26.11.01;26;MAN;
26.12.00;26;MAN;
26.20.00;26;MAN;
26.51.29;26;MAN;
26.12.00;26;MAN;
26.70.11;26;MAN;
26.20.00;26;MAN;
26.51.29;26;MAN;
26.12.00;26;MAN;
26.20.00;26;MAN;
26.30.29;26;MAN;
26.20.00;26;MAN;
26.51.10;26;MAN;
26.12.00;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.60.02;26;MAN;
26.20.00;26;MAN;
26.20.00;26;MAN;
26.40.01;26;MAN;
26.20.00;26;MAN;
26.30.29;26;MAN;
26.20.00;26;MAN;
26.30.21;26;MAN;
26.30.29;26;MAN;
26.30.29;26;MAN;
26.20.00;26;MAN;
26.51.29;26;MAN;
27.11.00;27;MAN;
27.90.09;27;MAN;
27.90.09;27;MAN;
27.53.0;27;MAN;
27.90.09;27;MAN;
27.11.00;27;MAN;
27.90.09;27;MAN;
