mm1,mm2,met1,met2,nmi_m1_m2
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.8736508361247045
IM,LP,1,2,0.8918731363051738
IM,LP,1,2,0.9091697654919322
IM,LP,1,2,0.9087271043398077
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.8745765071184151
IM,LP,1,2,0.9265067433681524
IM,LP,1,2,0.9269897532097385
IM,LP,1,2,0.8736508361247045
IM,LP,1,2,0.8918731363051738
IM,LP,1,2,0.9091697654919322
IM,LP,1,2,0.9087271043398077
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.8745765071184151
IM,LP,1,2,0.9265067433681524
IM,LP,1,2,0.9269897532097385
IM,LP,1,2,0.9274324143618632
IM,LP,1,2,0.9091697654919322
IM,LP,1,2,0.9087271043398077
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.9456950632317936
IM,LP,1,2,0.8909474653114631
IM,LP,1,2,0.8914304751530492
IM,LP,1,2,0.9091697654919322
IM,LP,1,2,0.9087271043398077
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.9456950632317936
IM,LP,1,2,0.8909474653114631
IM,LP,1,2,0.8914304751530492
IM,LP,1,2,0.9087271043398077
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.8745765071184151
IM,LP,1,2,0.9265067433681524
IM,LP,1,2,0.9269897532097385
IM,LP,1,2,0.9096527753335185
IM,LP,1,2,0.8745765071184151
IM,LP,1,2,0.9265067433681524
IM,LP,1,2,0.9269897532097385
IM,LP,1,2,0.9456950632317936
IM,LP,1,2,0.8909474653114631
IM,LP,1,2,0.8914304751530492
IM,LP,1,2,0.8909474653114631
IM,LP,1,2,0.8914304751530492
IM,LP,1,2,0.9269897532097385
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.9639577121017244
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.8572798779316569
IM,ML,1,3,0.9639577121017244
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.8923561461467597
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
IM,WT,1,4,0.9634747022601383
