method,mu,mod,nc,nmi
ML,0.1997,0.7866,33,0.73
ML,0.1997,0.7833,36,0.759
ML,0.1997,0.7858,36,0.775
ML,0.1997,0.7853,35,0.767
ML,0.1997,0.7859,35,0.751
ML,0.1997,0.7821,38,0.777
ML,0.1997,0.7829,34,0.727
ML,0.1997,0.7861,36,0.768
ML,0.1997,0.7833,34,0.737
ML,0.1997,0.7841,35,0.751
