name,cons_comm_label,gamma,comm_size,single
1,1,0.22255489021956087,5,NA
2,1,0.22255489021956087,5,NA
3,1,0.22255489021956087,5,NA
4,1,0.22255489021956087,5,NA
5,1,0.22255489021956087,5,NA
6,2,0.2357784431137725,5,NA
7,2,0.2357784431137725,5,NA
8,2,0.2357784431137725,5,NA
9,2,0.2357784431137725,5,NA
10,2,0.2357784431137725,5,NA
11,3,0.23103792415169666,5,NA
12,3,0.23103792415169666,5,NA
13,3,0.23103792415169666,5,NA
14,3,0.23103792415169666,5,NA
15,3,0.23103792415169666,5,NA
16,4,0.22155688622754488,5,NA
17,4,0.22155688622754488,5,NA
18,4,0.22155688622754488,5,NA
19,4,0.22155688622754488,5,NA
20,4,0.22155688622754488,5,NA
21,5,0.5336469917308241,1,TRUE
22,6,0.5373538637011691,1,TRUE
23,7,0.5317935557456516,1,TRUE
24,8,0.5286569717707442,1,TRUE
25,9,0.7813972055888223,1,TRUE
26,10,0,1,TRUE
27,11,0,1,TRUE
28,12,0,1,TRUE
